date,weekday,daytime,season,weather_conditions,light_conditions,road_surface_conditions,road_type,speed_limit,number_of_vehicles,urban_or_rural_area,IMD_Decile,IncScore,EmpScore,HDDScore,EduScore,CriScore,EnvScore,severity_numeric,severity_binary
2017-04-08,Sat,office hours (10-16),Spring,Fine no high winds,Daylight,Dry,Dual carriageway,30,2,Urban,6,0.142,0.075,-0.21,5.954,-0.126,31.256,5,Not Severe
2017-10-06,Fri,morning rush (7-10),Autumn,Fine no high winds,Daylight,Dry,Dual carriageway,30,2,Urban,3,0.214,0.134,0.528,14.403,0.464,25.218,4,Not Severe
2017-09-06,Wed,night (23-7),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,4,0.103,0.067,-0.337,6.368,0.863,56.7,5,Not Severe
2017-11-17,Fri,morning rush (7-10),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,5,0.114,0.088,0.076,8.979,0.364,38.265,3,Not Severe
2017-07-05,Wed,evening (19-23),Summer,Fine no high winds,Daylight,Dry,Slip road,20,2,Urban,1,0.304,0.215,0.512,21.026,0.69,29.803,3,Not Severe
2017-11-03,Fri,evening (19-23),Autumn,Fine no high winds,Darkness - lights lit,Dry,Single carriageway,30,2,Urban,3,0.187,0.128,-0.273,26.884,0.046,26.708,4,Not Severe
2017-04-20,Thu,afternoon rush (16-19),Spring,Fine no high winds,Daylight,Dry,Dual carriageway,40,2,Urban,3,0.187,0.128,-0.273,26.884,0.046,26.708,5,Not Severe
2017-05-05,Fri,morning rush (7-10),Spring,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,8,0.058,0.051,-0.964,1.515,0.037,25.714,5,Not Severe
2017-08-02,Wed,morning rush (7-10),Summer,Fine no high winds,Daylight,Dry,Roundabout,20,2,Urban,5,0.145,0.077,0.593,8.194,-0.294,19.651,4,Not Severe
2017-11-22,Wed,office hours (10-16),Autumn,Fine no high winds,Daylight,Dry,Dual carriageway,30,2,Urban,2,0.249,0.147,0.247,42.515,1.277,35.766,5,Not Severe
2017-12-18,Mon,office hours (10-16),Winter,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,9,0.046,0.038,-0.554,12.869,-1.064,23.289,3,Not Severe
2017-11-13,Mon,office hours (10-16),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,4,0.132,0.074,-0.71,17.114,0.706,31.407,3,Not Severe
2017-07-28,Fri,office hours (10-16),Summer,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,3,0.137,0.078,-0.275,42.422,0.039,35.191,2,Not Severe
